rank,stadium,capacity,region,country,city,images,home_team,location
15,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/220px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,"Malaysia national football team,","[3.0546755, 101.6913690326]"
16,Borg el-Arab Stadium,86000,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/220px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha","[30.9994904, 29.7293844436]"
17,Salt Lake Stadium,85000,South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/220px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team, ATK Mohun Bagan, East Bengal, Mohammedan","[22.56906035, 88.409020093]"
18,Estadio Mâs Monumental,84567,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Estadio_M%C3%A2s_Monumental.jpg/220px-Estadio_M%C3%A2s_Monumental.jpg,"Argentina national football team, River Plate","[-34.54529825, -58.4497378338]"
19,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/220px-State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team","[-33.8471082, 151.0633848447]"
20,MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg/220px-Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg,"New York Giants, New York Jets, New York Guardians, United States men's national soccer team","[40.81352375, -74.0734007489]"
21,Croke Park,82300,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/220px-Croke_park_all_ireland.jpg,"Gaelic Athletic Association, Dublin GAA","[53.36035755, -6.2509811826]"
22,Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jakarta_International_Stadium_from_Toll_road.jpg/220px-Jakarta_International_Stadium_from_Toll_road.jpg,"Persija Jakarta, Indonesia national football team","[-6.12507475, 106.860200959]"
23,FedExField,82000,North America,United States,"Landover, Maryland",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/220px-FedexField2014.jpg,Washington Commanders,"[38.9077002, -76.8633260869]"
24,Lambeau Field,81441,North America,United States,"Green Bay, Wisconsin",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lambeau_Field_bowl.jpg/220px-Lambeau_Field_bowl.jpg,Green Bay Packers,"[44.50095825, -88.0610340438]"
25,Signal Iduna Park,81365,Europe,Germany,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Signal_iduna_park.jpg/220px-Signal_iduna_park.jpg,Borussia Dortmund,"[51.4924922, 7.4508880096]"
26,Stade de France,81338,Europe,France,Saint-Denis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/StadeFranceNationsLeague2018.jpg/220px-StadeFranceNationsLeague2018.jpg,France national football team,"[48.92447255, 2.3601325227]"
27,Estadio Santiago Bernabéu,81044,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg/220px-Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg,Real Madrid,"[40.4530225, -3.6874056738]"
28,Luzhniki Stadium,81000,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Luzhniki_Stadium2.jpg/220px-Luzhniki_Stadium2.jpg,,"[55.7157445, 37.5537672987]"
29,Shah Alam Stadium,80372,Southeast Asia,Malaysia,"Shah Alam, Selangor",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Shah_Alam_Stadium_%28inside%29.jpg/220px-Shah_Alam_Stadium_%28inside%29.jpg,Selangor FA,"[3.0838218, 101.5456258304]"
30,Estadio Monumental,80093,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/EstadioUniversitario.jpg/220px-EstadioUniversitario.jpg,Club Universitario de Deportes,"[-12.05564735, -76.9353339221]"
31,Stadio Giuseppe Meazza,80018,Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/220px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,AC Milan and Internazionale,"[45.47820035, 9.1239639933]"
32,Guangdong Olympic Stadium,80012,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/220px-Stade_Olympique_Guangdong.JPG,,"[23.13803625, 113.403429629]"
33,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/220px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,,"[30.2317101, 120.2254883983]"
34,AT&T Stadium,80000,North America,United States,"Arlington, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/220px-Cowboys_Stadium_full_view.jpg,"Dallas Cowboys, FC Dallas","[32.74785025, -97.0928337074]"
35,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/220px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,Congo DR national football team and AS Vita Club,"[-5.92806305, 22.3096029605]"
36,National Sports Stadium,80000,Africa,Zimbabwe,Harare,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zimbabwe national football team,"[-17.82141495, 30.9950735131]"
37,Moi International Sports Centre,80000,Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/220px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team,"[-1.23029175, 36.891596147]"
38,Stade Léopold Sédar Senghor,80000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/220px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"Senegal national football team, ASC Jeanne d'Arc","[14.74677165, -17.4519140387]"
39,Maracanã Stadium,78838,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/220px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama","[-22.91216195, -43.23118606]"
40,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/220px-USC_vs_University_of_Oregon_November_2019.png,USC Trojans,"[34.0139923, -118.2880286485]"
41,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/220px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC","[35.7244962, 51.2755487216]"
42,Gelora Bung Karno Main Stadium,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/220px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,","[-6.21853605, 106.8026353197]"
43,Caesar's Superdome,76468,North America,United States,"New Orleans, Louisiana",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/220px-The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints, Sugar Bowl","[29.9759983, -90.0782127]"
44,Arrowhead Stadium,76412,North America,United States,"Kansas City, Missouri",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg/220px-25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,Kansas City Chiefs,"[39.0751128, -78.191289]"
45,Empower Field,76125,North America,United States,Denver,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/220px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,Denver Broncos,"[39.743952, -105.0192228124]"
46,Atatürk Olympic Stadium,76092,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/220px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,,"[41.0744732, 28.7656610517]"
47,Old Trafford,76000,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/220px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United F.C.,"[53.46310955, -2.2913864851]"
48,Allianz Arena,75024,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Allainz_Arena_%28Bayern_Munich%29.jpg/220px-Allainz_Arena_%28Bayern_Munich%29.jpg,FC Bayern Munich,"[48.21880845, 11.6246641518]"
49,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/220px-Naghsh_Jahan_Stadium.jpg,Sepahan FC,"[32.74245575, 51.6861810122]"
50,Morodok Techo National Stadium,75000,Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Morodok_Techo_National_Stadium.jpg/220px-Morodok_Techo_National_Stadium.jpg,Cambodia national football team,"[11.68297715, 104.8763078275]"
51,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/220px-Bank_of_America_Stadium_soccer.jpg,"Charlotte FC, Carolina Panthers","[35.225737, -80.852766641]"
52,Millennium Stadium,74500,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/220px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national football team,"[51.4782953, -3.1837046981]"
53,Olympiastadion,74475,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/220px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC,"[52.5145846, 13.2398144178]"
54,Cairo International Stadium,74100,Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/220px-Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team, Al Ahly, Zamalek","[30.0691158, 31.3121525587]"
55,FirstEnergy Stadium,73200,North America,United States,Cleveland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/FirstEnergy_Stadium_panorama_2016.jpg/220px-FirstEnergy_Stadium_panorama_2016.jpg,Cleveland Browns,"[41.5060559, -81.6997118453]"
56,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/220px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC","[-15.7837498, -47.8990287459]"
57,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/220px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"A.S. Roma, S.S. Lazio","[41.93395205, 12.4547230745]"
58,International Stadium Yokohama,72327,East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/220px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles","[35.5099882, 139.6063825439]"
59,NRG Stadium,72220,North America,United States,"Houston, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/220px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans, Houston Dynamo FC","[29.6848581, -95.4108014533]"
60,Shanghai Stadium,72000,East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Shanghai_Stadium_2008.JPG/220px-Shanghai_Stadium_2008.JPG,Shanghai Shenhua,"[31.1832135, 121.4373206895]"
61,M&T Bank Stadium,71008,North America,United States,Baltimore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/M%26T_Bank_Stadium_USA_soccer.JPG/220px-M%26T_Bank_Stadium_USA_soccer.JPG,Baltimore Ravens,"[39.2779734, -76.6226651155]"
62,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg/220px-Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg,"Atlanta United FC, Atlanta Falcons","[33.7554123, -84.40084932]"
63,Olympic National Sports Complex Stadium,70000,Europe,Ukraine,Kyiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kyiv_NSC_Olimpiyskyi_5.jpg/220px-Kyiv_NSC_Olimpiyskyi_5.jpg,"Ukraine national football team, FC Dynamo Kyiv","[50.43339675, 30.5230174439]"
64,Phnom Penh Olympic Stadium,70000,Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/A_football_match_at_the_Olympic_Stadium%2C_Phnom_Penh_%28Chetra_Chap%2C_2015%29._%2819104466005%29.jpg/220px-A_football_match_at_the_Olympic_Stadium%2C_Phnom_Penh_%28Chetra_Chap%2C_2015%29._%2819104466005%29.jpg,Cambodia national football team,"[11.5730391, 104.857807]"
65,SoFi Stadium,70000,North America,United States,"Inglewood, California",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/SoFi_Stadium_interior_2021.jpg/220px-SoFi_Stadium_interior_2021.jpg,,"[33.95340735, -118.3390098103]"
66,Seoul Olympic Stadium,69950,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%E8%9A%95%E5%AE%A4_03.jpg/220px-%E8%9A%95%E5%AE%A4_03.jpg,,"[37.51582415, 127.0727361919]"
67,Bakı Olimpiya stadionu,69870,West Asia,Azerbaijan,Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg/220px-Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg,Azerbaijan national football team,"[40.429982, 49.9195309983]"
68,Olympic Stadium,69618,Europe,Greece,"Marousi, Attica",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Greece national football team,"[38.0361819, 23.7876367422]"
69,Olympiastadion München,69250,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/M%C3%BCnchener_Olympiastadion.jpg/220px-M%C3%BCnchener_Olympiastadion.jpg,,"[48.1731314, 11.5464786354]"
70,Lumen Field,69000,North America,United States,"Seattle, Washington",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Qwest_Field_North.jpg/220px-Qwest_Field_North.jpg,"Seattle Sounders FC, Seattle Seahawks","[47.5953459, -122.331644312]"
71,Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/220px-Estadio_Pumas.jpg,UNAM Pumas,"[19.33175425, -99.1922849638]"
72,Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/220px-Stadiumguillete_%28cropped%29.jpg,"New England Patriots, New England Revolution","[42.0912526, -71.2644646106]"
73,King Abdullah Sports City Stadium,68560,West Asia,Saudi Arabia,Jeddah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/220px-Jawhara_Stadium.jpg,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Club (Jeddah)","[26.3790336, 43.9477023259]"
74,Lincoln Financial Field,68532,North America,United States,Philadelphia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/USA-Turkey-Linc.jpg/220px-USA-Turkey-Linc.jpg,"Philadelphia Eagles, Temple Owls football","[39.9009099, -75.1674891561]"
75,Levi's Stadium,68500,North America,United States,"Santa Clara, California",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Entering_Levi%27s_Stadium.JPG/220px-Entering_Levi%27s_Stadium.JPG,San Francisco 49ers,"[37.40315825, -121.9698314443]"
76,Acrisure Stadium,68400,North America,United States,Pittsburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Heinz_Field_NHL_Winter_Classic.jpg/220px-Heinz_Field_NHL_Winter_Classic.jpg,"Pittsburgh Steelers, Pittsburgh Panthers football","[40.44671645, -80.0157549335]"
77,Krestovsky Stadium,68134,Europe,Russia,Saint Petersburg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/220px-Fina-l2017.jpg,FC Zenit Saint Petersburg,"[59.9723766, 30.2210607516]"
78,Japan National Stadium,68000,East Asia,Japan,Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg/220px-Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,,"[35.6840574, 139.7744912]"
79,TIAA Bank Field,67814,North America,United States,"Jacksonville, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/2009_Gator_Bowl.jpg/220px-2009_Gator_Bowl.jpg,Jacksonville Jaguars,"[30.32398105, -81.6373045703]"
80,Cívitas Metropolitano,67703,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/220px-Wanda-Metropolitano.jpg,"Atlético Madrid, Rayo Majadahonda","[40.43605295, -3.5997158097]"
81,Stade Vélodrome,67394,Europe,France,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/220px-Stade_V%C3%A9lodrome_1.jpg,Olympique de Marseille,"[43.26983495, 5.3959116641]"
82,Puskás Aréna,67215,Europe,Hungary,Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/220px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Hungary national football team,"[47.50310895, 19.0980508921]"
83,Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/220px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Scotland national rugby union team,"[55.9404615, -3.2385624]"
84,Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LucasOilStadiumTheLuke.jpg/220px-LucasOilStadiumTheLuke.jpg,Indianapolis Colts,"[39.7590621, -86.1638376105]"
85,Estádio do Morumbi,66975,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/220px-Estadio_Morumbi_2014.jpg,São Paulo FC,"[-23.60005845, -46.7201583473]"
86,The Dome,66965,North America,United States,St. Louis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/2005_NCAA_North_Carolina_v_Michigan_State.JPG/220px-2005_NCAA_North_Carolina_v_Michigan_State.JPG,St. Louis BattleHawks,"[42.7786911, -73.1701063]"
87,Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Yadegar_Emam_stadium_at_night_-_panoramio.jpg/220px-Yadegar_Emam_stadium_at_night_-_panoramio.jpg,Tractor Sazi FC,"[38.0738612, 46.2978789]"
88,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AFC_Champions_League_Final_1st_leg.jpg/220px-AFC_Champions_League_Final_1st_leg.jpg,FC Seoul,"[37.5683021, 126.8972476647]"
89,US Bank Stadium,66655,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Looking_South-US_Bank_Stadium.jpg/220px-Looking_South-US_Bank_Stadium.jpg,Minnesota Vikings,"[44.97361545, -93.2574662827]"
90,Daegu Stadium,66422,East Asia,South Korea,Daegu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Daegu.Stadium.original.2167.jpg/220px-Daegu.Stadium.original.2167.jpg,Daegu FC,"[35.8297517, 128.6901254233]"
91,Workers' Stadium,66161,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg/220px-New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg,"Beijing Guoan FC, China national football team","[39.92951015, 116.4409951805]"
92,London Stadium,66000,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/London_Stadium_panorama_picture.jpg/220px-London_Stadium_panorama_picture.jpg,West Ham United F.C.,"[51.53862065, -0.016623759]"
93,Raymond James Stadium,65847,North America,United States,"Tampa, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaymondJamesStadium2022.jpg/220px-RaymondJamesStadium2022.jpg,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers","[27.97597925, -82.5042179967]"
94,Estádio da Luz,65647,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/220px-LuzLissabon.jpg,S.L. Benfica,"[38.7526893, -9.1846898818]"
