rank,stadium,capacity,region,country,city,images,home_team
20,MetLife Stadium,"82,500",North America,United States,"East Rutherford, New Jersey",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg/220px-Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg,"New York Giants, New York Jets, New York Guardians, United States men's national soccer team"
21,Croke Park,"82,300",Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/220px-Croke_park_all_ireland.jpg,"Gaelic Athletic Association, Dublin GAA"
22,Jakarta International Stadium,"82,000",Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jakarta_International_Stadium_from_Toll_road.jpg/220px-Jakarta_International_Stadium_from_Toll_road.jpg,"Persija Jakarta, Indonesia national football team"
23,FedExField,"82,000",North America,United States,"Landover, Maryland",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/220px-FedexField2014.jpg,Washington Commanders
24,Lambeau Field,"81,441",North America,United States,"Green Bay, Wisconsin",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lambeau_Field_bowl.jpg/220px-Lambeau_Field_bowl.jpg,Green Bay Packers
25,Signal Iduna Park,"81,365",Europe,Germany,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Signal_iduna_park.jpg/220px-Signal_iduna_park.jpg,Borussia Dortmund
26,Stade de France,"81,338",Europe,France,Saint-Denis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/StadeFranceNationsLeague2018.jpg/220px-StadeFranceNationsLeague2018.jpg,France national football team
27,Estadio Santiago Bernabéu,"81,044",Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg/220px-Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg,Real Madrid
28,Luzhniki Stadium,"81,000",Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Luzhniki_Stadium2.jpg/220px-Luzhniki_Stadium2.jpg,
29,Shah Alam Stadium,"80,372",Southeast Asia,Malaysia,"Shah Alam, Selangor",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Shah_Alam_Stadium_%28inside%29.jpg/220px-Shah_Alam_Stadium_%28inside%29.jpg,Selangor FA
30,Estadio Monumental,"80,093",South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/EstadioUniversitario.jpg/220px-EstadioUniversitario.jpg,Club Universitario de Deportes
31,Stadio Giuseppe Meazza,"80,018",Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/220px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,AC Milan and Internazionale
32,Guangdong Olympic Stadium,"80,012",East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/220px-Stade_Olympique_Guangdong.JPG,
33,Hangzhou Olympic Sports Expo Centre Stadium,"80,000",East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/220px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,
34,AT&T Stadium,"80,000",North America,United States,"Arlington, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/220px-Cowboys_Stadium_full_view.jpg,"Dallas Cowboys, FC Dallas"
35,Stade des Martyrs,"80,000",Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/220px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,Congo DR national football team and AS Vita Club
36,National Sports Stadium,"80,000",Africa,Zimbabwe,Harare,NO_IMAGE,Zimbabwe national football team
37,Moi International Sports Centre,"80,000",Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/220px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team
38,Stade Léopold Sédar Senghor,"80,000",Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/220px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"Senegal national football team, ASC Jeanne d'Arc"
39,Maracanã Stadium,"78,838",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/220px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama"
40,Los Angeles Memorial Coliseum,"78,467",North America,United States,"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/220px-USC_vs_University_of_Oregon_November_2019.png,USC Trojans
41,Azadi Stadium,"78,116",West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/220px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC"
42,Gelora Bung Karno Main Stadium,"77,193",Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/220px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,"
43,Caesar's Superdome,"76,468",North America,United States,"New Orleans, Louisiana",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/220px-The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints, Sugar Bowl"
44,Arrowhead Stadium,"76,412",North America,United States,"Kansas City, Missouri",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg/220px-25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,Kansas City Chiefs
45,Empower Field,"76,125",North America,United States,Denver,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/220px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,Denver Broncos
46,Atatürk Olympic Stadium,"76,092",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/220px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,
47,Old Trafford,"76,000",Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/220px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United F.C.
48,Allianz Arena,"75,024",Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Allainz_Arena_%28Bayern_Munich%29.jpg/220px-Allainz_Arena_%28Bayern_Munich%29.jpg,FC Bayern Munich
49,Naghsh-e-Jahan Stadium,"75,000",West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/220px-Naghsh_Jahan_Stadium.jpg,Sepahan FC
50,Morodok Techo National Stadium,"75,000",Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Morodok_Techo_National_Stadium.jpg/220px-Morodok_Techo_National_Stadium.jpg,Cambodia national football team
51,Bank of America Stadium,"74,867",North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/220px-Bank_of_America_Stadium_soccer.jpg,"Charlotte FC, Carolina Panthers"
52,Millennium Stadium,"74,500",Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/220px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national football team
53,Olympiastadion,"74,475",Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/220px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC
54,Cairo International Stadium,"74,100",Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/220px-Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team, Al Ahly, Zamalek"
55,FirstEnergy Stadium,"73,200",North America,United States,Cleveland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/FirstEnergy_Stadium_panorama_2016.jpg/220px-FirstEnergy_Stadium_panorama_2016.jpg,Cleveland Browns
56,Estádio Nacional Mané Garrincha,"72,788",South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/220px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC"
57,Stadio Olimpico,"72,698",Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/220px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"A.S. Roma, S.S. Lazio"
58,International Stadium Yokohama,"72,327",East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/220px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles"
59,NRG Stadium,"72,220",North America,United States,"Houston, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/220px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans, Houston Dynamo FC"
60,Shanghai Stadium,"72,000",East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Shanghai_Stadium_2008.JPG/220px-Shanghai_Stadium_2008.JPG,Shanghai Shenhua
61,M&T Bank Stadium,"71,008",North America,United States,Baltimore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/M%26T_Bank_Stadium_USA_soccer.JPG/220px-M%26T_Bank_Stadium_USA_soccer.JPG,Baltimore Ravens
62,Mercedes-Benz Stadium,"71,000",North America,United States,"Atlanta, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg/220px-Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg,"Atlanta United FC, Atlanta Falcons"
63,Olympic National Sports Complex Stadium,"70,000",Europe,Ukraine,Kyiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kyiv_NSC_Olimpiyskyi_5.jpg/220px-Kyiv_NSC_Olimpiyskyi_5.jpg,"Ukraine national football team, FC Dynamo Kyiv"
64,Phnom Penh Olympic Stadium,"70,000",Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/A_football_match_at_the_Olympic_Stadium%2C_Phnom_Penh_%28Chetra_Chap%2C_2015%29._%2819104466005%29.jpg/220px-A_football_match_at_the_Olympic_Stadium%2C_Phnom_Penh_%28Chetra_Chap%2C_2015%29._%2819104466005%29.jpg,Cambodia national football team
65,SoFi Stadium,"70,000",North America,United States,"Inglewood, California",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/SoFi_Stadium_interior_2021.jpg/220px-SoFi_Stadium_interior_2021.jpg,
66,Seoul Olympic Stadium,"69,950",East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%E8%9A%95%E5%AE%A4_03.jpg/220px-%E8%9A%95%E5%AE%A4_03.jpg,
67,Bakı Olimpiya stadionu,"69,870",West Asia,Azerbaijan,Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg/220px-Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg,Azerbaijan national football team
68,Olympic Stadium,"69,618",Europe,Greece,"Marousi, Attica",NO_IMAGE,Greece national football team
69,Olympiastadion München,"69,250",Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/M%C3%BCnchener_Olympiastadion.jpg/220px-M%C3%BCnchener_Olympiastadion.jpg,
70,Lumen Field,"69,000",North America,United States,"Seattle, Washington",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Qwest_Field_North.jpg/220px-Qwest_Field_North.jpg,"Seattle Sounders FC, Seattle Seahawks"
71,Estadio Olímpico Universitario,"68,954",North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/220px-Estadio_Pumas.jpg,UNAM Pumas
72,Gillette Stadium,"68,756",North America,United States,"Foxborough, Massachusetts",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/220px-Stadiumguillete_%28cropped%29.jpg,"New England Patriots, New England Revolution"
73,King Abdullah Sports City Stadium,"68,560",West Asia,Saudi Arabia,Jeddah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/220px-Jawhara_Stadium.jpg,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Club (Jeddah)"
74,Lincoln Financial Field,"68,532",North America,United States,Philadelphia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/USA-Turkey-Linc.jpg/220px-USA-Turkey-Linc.jpg,"Philadelphia Eagles, Temple Owls football"
75,Levi's Stadium,"68,500",North America,United States,"Santa Clara, California",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Entering_Levi%27s_Stadium.JPG/220px-Entering_Levi%27s_Stadium.JPG,San Francisco 49ers
76,Acrisure Stadium,"68,400",North America,United States,Pittsburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Heinz_Field_NHL_Winter_Classic.jpg/220px-Heinz_Field_NHL_Winter_Classic.jpg,"Pittsburgh Steelers, Pittsburgh Panthers football"
77,Krestovsky Stadium,"68,134",Europe,Russia,Saint Petersburg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/220px-Fina-l2017.jpg,FC Zenit Saint Petersburg
78,Japan National Stadium,"68,000",East Asia,Japan,Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg/220px-Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,
79,TIAA Bank Field,"67,814",North America,United States,"Jacksonville, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/2009_Gator_Bowl.jpg/220px-2009_Gator_Bowl.jpg,Jacksonville Jaguars
80,Cívitas Metropolitano,"67,703",Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/220px-Wanda-Metropolitano.jpg,"Atlético Madrid, Rayo Majadahonda"
81,Stade Vélodrome,"67,394",Europe,France,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/220px-Stade_V%C3%A9lodrome_1.jpg,Olympique de Marseille
82,Puskás Aréna,"67,215",Europe,Hungary,Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/220px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Hungary national football team
83,Murrayfield Stadium,"67,144",Europe,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/220px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Scotland national rugby union team
84,Lucas Oil Stadium,"67,000",North America,United States,"Indianapolis, Indiana",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LucasOilStadiumTheLuke.jpg/220px-LucasOilStadiumTheLuke.jpg,Indianapolis Colts
85,Estádio do Morumbi,"66,975",South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/220px-Estadio_Morumbi_2014.jpg,São Paulo FC
86,The Dome,"66,965",North America,United States,St. Louis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/2005_NCAA_North_Carolina_v_Michigan_State.JPG/220px-2005_NCAA_North_Carolina_v_Michigan_State.JPG,St. Louis BattleHawks
87,Yadegar-e-Emam Stadium,"66,833",West Asia,Iran,Tabriz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Yadegar_Emam_stadium_at_night_-_panoramio.jpg/220px-Yadegar_Emam_stadium_at_night_-_panoramio.jpg,Tractor Sazi FC
88,Seoul World Cup Stadium,"66,704",East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AFC_Champions_League_Final_1st_leg.jpg/220px-AFC_Champions_League_Final_1st_leg.jpg,FC Seoul
89,US Bank Stadium,"66,655",North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Looking_South-US_Bank_Stadium.jpg/220px-Looking_South-US_Bank_Stadium.jpg,Minnesota Vikings
90,Daegu Stadium,"66,422",East Asia,South Korea,Daegu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Daegu.Stadium.original.2167.jpg/220px-Daegu.Stadium.original.2167.jpg,Daegu FC
91,Workers' Stadium,"66,161",East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg/220px-New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg,"Beijing Guoan FC, China national football team"
92,London Stadium,"66,000",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/London_Stadium_panorama_picture.jpg/220px-London_Stadium_panorama_picture.jpg,West Ham United F.C.
93,Raymond James Stadium,"65,847",North America,United States,"Tampa, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaymondJamesStadium2022.jpg/220px-RaymondJamesStadium2022.jpg,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers"
94,Estádio da Luz,"65,647",Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/220px-LuzLissabon.jpg,S.L. Benfica
95,Hard Rock Stadium,"65,326",North America,United States,"Miami Gardens, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Interior_of_updated_Hard_Rock_Stadium.jpg/220px-Interior_of_updated_Hard_Rock_Stadium.jpg,"Miami Dolphins, Miami Hurricanes football"
96,Olympic Stadium,"65,255",North America,Canada,"Montreal, Quebec",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/220px-Montreal_Impact_CONCACAF_FINAL.jpg,CF Montréal
97,Basra International Stadium,"65,227",West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/220px-Basra_International_Stadium_Opening_2.JPG,Iraq national football team
98,Camping World Stadium,"65,000",North America,United States,"Orlando, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Citrus_Bowl%2C_Construction_progress.jpg/220px-Citrus_Bowl%2C_Construction_progress.jpg,
99,Alamodome,"65,000",North America,United States,San Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alamodome_Conference_USA_Championship.jpg/220px-Alamodome_Conference_USA_Championship.jpg,UTSA Roadrunners football
100,Ford Field,"65,000",North America,United States,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/FordField-2008NCAAtournament-MidwestRegional.jpg/220px-FordField-2008NCAAtournament-MidwestRegional.jpg,Detroit Lions
101,Stade Ibn Battuta,"65,000",Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stade_Ibn_Batuta%2C_Tanger.jpg/220px-Stade_Ibn_Batuta%2C_Tanger.jpg,IR Tanger
102,Stade du 5-juillet-1962,"64,000",Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/220px-Stade_5_Juillet_1962.jpg,Algeria national football team
103,Castelão,"63,903",South America,Brazil,"Fortaleza, Ceará",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/220px-Castel%C3%A3o_Arena_%285%29.jpg,"Ceará SC, Fortaleza EC"
104,Saitama Stadium 2002,"63,700",East Asia,Japan,Saitama,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saitama_Stadium_Panorama.jpg/220px-Saitama_Stadium_Panorama.jpg,"Urawa Red Diamonds, Saitama Wild Knights"
105,Ellis Park Stadium,"62,567",Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg/220px-Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,"Orlando Pirates FC, Emirates Johannesburg Lions"
106,Tottenham Hotspur Stadium,"62,303",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Spurs_stadium_January_2020.jpg/220px-Spurs_stadium_January_2020.jpg,Tottenham Hotspur F.C.
